basin,year,site,country,latitude,longitude,eqr,urb.full,crop.full,tree.full,temp.change
BE02,1996,121000152,belgium,51.1036103,5.807662,0.45,0.131578947,0.736842105,0.006578947,0.025100478
BE02,1996,121000122,belgium,51.2766758,5.381177,0.65,NA,NA,NA,0.025100478
BE02,1996,121000160,belgium,51.1717187,5.7795737,0.55,0.006306306,0.800900901,0.114414414,0.025100478
BE02,1996,121000225,belgium,51.125738,5.811887,0.65,0,1,0,0.025100478
BE02,1996,121000059,belgium,51.1196984,5.7214918,0.6,0,0.5,0.375,0.025100478
BE02,1996,121000234,belgium,51.1292048,5.8238817,0.55,0.028274056,0.314063965,0.367772264,0.025100478
BE02,1996,121000235,belgium,51.0945091,5.8027274,0.5,0.028284654,0.313112638,0.368391381,0.025100478
BE02,1996,121000226,belgium,51.1376985,5.7660702,0.65,NA,NA,NA,0.025100478
BE02,1996,121000121,belgium,51.2754487,5.3464685,0.7,NA,NA,NA,0.025100478
BE02,1996,121000228,belgium,51.1792437,5.631052,0.7,0,0.737704918,0,0.025100478
BE02,1997,121000152,belgium,51.1036103,5.807662,0.35,0.138157895,0.730263158,0.006578947,0.025100478
BE02,1997,121000234,belgium,51.1292048,5.8238817,0.55,0.029051558,0.312958368,0.369035015,0.025100478
BE02,1997,121000235,belgium,51.0945091,5.8027274,0.55,0.029055677,0.312012756,0.369657074,0.025100478
BE02,1997,121000160,belgium,51.1717187,5.7795737,0.6,0.006306306,0.800900901,0.114414414,0.025100478
BE02,1997,121000228,belgium,51.1792437,5.631052,0.65,0,0.737704918,0,0.025100478
BE02,1997,121000122,belgium,51.2766758,5.381177,0.8,NA,NA,NA,0.025100478
BE02,1997,121000225,belgium,51.125738,5.811887,0.6,0,1,0,0.025100478
BE02,1997,121000059,belgium,51.1196984,5.7214918,0.7,0,0.5,0.375,0.025100478
BE02,1997,121000121,belgium,51.2754487,5.3464685,0.65,NA,NA,NA,0.025100478
BE02,1997,121000226,belgium,51.1376985,5.7660702,0.65,NA,NA,NA,0.025100478
