basin,country,year,delta_taxonomic_allYears,delta_biological_allYears,delta_ecological_allYears,taxa_addition_allYears,taxa_subtraction_allYears,biological_addition_allYears,biological_subtraction_allYears,ecological_addition_allYears,ecological_subtraction_allYears,delta_taxonomic_toFirst,delta_biological_toFirst,delta_ecological_toFirst,taxa_addition_toFirst,taxa_subtraction_toFirst,biological_addition_toFirst,biological_subtraction_toFirst,ecological_addition_toFirst,ecological_subtraction_toFirst,delta_taxonomic_fromLast,delta_biological_fromLast,delta_ecological_fromLast,taxa_addition_fromLast,taxa_subtraction_fromLast,biological_addition_fromLast,biological_subtraction_fromLast,ecological_addition_fromLast,ecological_subtraction_fromLast
DE01,denmark,2002,-0.017329426,-0.133841478,-0.02346506,0.038562925,-0.065922227,-0.023029352,-0.019757246,-0.027900861,-0.010488808,0.069607849,-0.031145382,-0.01490649,0.110728573,-0.018878829,0.000908446,-0.0126831,0.006295797,-0.009509463,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2003,0.035795047,0.083012848,0.014762816,0.080316454,-0.013246707,0.020297553,0.006937963,0.016114983,0.000169841,0.105402896,0.051867466,-0.000143674,0.166354211,-0.007434722,0.007580768,0.006440837,0.012247343,-0.005456061,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2004,0.0393917,0.035621764,0.017828616,0.076192069,-0.021575789,0.015399931,0.010040209,-0.002476596,0.000153591,0.144794596,0.08748923,0.017684942,0.215421768,-0.001885998,0.029784191,0.010839282,0.01279565,-0.007121818,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2005,-0.017548485,-0.002654378,-0.007283026,0.00123926,-0.059377056,-0.003128336,-0.017908985,0.015238605,-0.010617456,0.127246111,0.084834852,0.010401916,0.160583465,-0.005185491,0.02241113,0.003138991,0.019913794,-0.013834556,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2006,0.001409667,0.038301994,0.008489856,-0.001789683,0.030515542,0.034445368,0.001246888,-0.002233991,-0.000468198,0.128655778,0.123136846,0.018891772,0.198656264,-0.014532432,0.046377634,0.008977826,0.02757013,-0.015003387,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2007,-0.043018723,-0.072541808,-0.010024349,-0.064692725,-0.02011016,-0.016353409,-0.014000229,-0.0090456,-0.000919953,0.085637055,0.050595038,0.008867423,0.122935162,-0.023614214,0.025397848,-0.00090609,0.007637873,-0.009019121,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2008,-0.061142783,-0.0651722,0.039470448,-0.100417424,0.022425964,-0.015528737,-0.013148432,0.009967064,0.019983842,0.024494272,-0.014577162,0.048337871,-0.041317203,0.06264669,0.003928996,-0.006269867,0.01325875,0.014725716,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2009,0.132375303,0.162946722,0.015000962,0.181324394,0.022947276,0.067141246,0.016807571,0.011315194,0.014130449,0.156869575,0.14836956,0.063338833,0.223477397,0.002123761,0.063431963,0.011978371,0.032761577,0.015647438,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2010,-0.020104496,-0.02834309,-0.048335947,-0.072638758,0.052129035,-0.027850604,-0.027401344,-0.003028432,-0.031045835,0.136765079,0.12002647,0.015002886,0.167150838,0.037940597,0.009652206,0.016346535,0.016110769,0.002451143,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2011,-0.083759558,-0.047279347,-0.058107502,-0.055930917,-0.083968986,-0.0116822,-0.005865953,-0.01575876,-0.020695496,0.053005521,0.072747123,-0.043104616,0.055671892,0.009519639,0.012806079,-0.001983719,0.006472753,-0.02095072,NA,NA,NA,NA,NA,NA,NA,NA,NA
