basin,country,basin_name,distance_mean,distance_max,distance_min,taxon_resolution,sample_units,number_sites,year,ts_length,taxa,total_taxa,urban_mean,crop_mean,forest_mean,eqr,temperature_trend,lat_center,lon_center,taxonomic_bray,biological_bray,ecological_bray,taxonomic_chiSq
DE01,denmark,Alling,14.42416446,27.78860891,1.685074129,mixed,0.6/m2,5,2008,14,50,91,0.002108434,0.869063812,0.103155276,0.716666667,0.030855198,56.41940723,10.30298156,0.68632547,0.300564124,0.248228083,0.839651202
DE01,denmark,Alling,14.42416446,27.78860891,1.685074129,mixed,0.6/m2,5,2009,14,47,91,0.002641767,0.868530479,0.097635106,0.650925926,0.030855198,56.41940723,10.30298156,0.818700773,0.463510846,0.263229045,0.903400238
DE01,denmark,Alling,14.42416446,27.78860891,1.685074129,mixed,0.6/m2,5,2010,14,38,91,0.002641767,0.870228992,0.094662707,0.712962963,0.030855198,56.41940723,10.30298156,0.798596277,0.435167756,0.214893098,0.877806493
DE01,denmark,Alling,14.42416446,27.78860891,1.685074129,mixed,0.6/m2,5,2011,14,43,91,0.0031751,0.870544916,0.09381345,0.683333333,0.030855198,56.41940723,10.30298156,0.714836719,0.387888409,0.156785596,0.822129434
DE01,denmark,Alling,14.42416446,27.78860891,1.685074129,mixed,0.6/m2,5,2012,14,48,91,0.003476305,0.870243711,0.09381345,0.719444444,0.030855198,56.41940723,10.30298156,0.712178877,0.370941296,0.209322728,0.822130139
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,1999,19,55,152,0.015438371,0.843681298,0.091397406,0.56095679,0.009542175,56.14451348,9.849531157,0.843982816,0.530511931,0.415838748,0.922772304
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2000,19,56,152,0.015727497,0.843764976,0.091285835,0.5625,0.009542175,56.14451348,9.849531157,0.856498591,0.554987381,0.422545995,0.910879561
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2001,19,57,152,0.016145888,0.842407017,0.092225403,0.583719136,0.009542175,56.14451348,9.849531157,0.856950345,0.641896528,0.456347696,0.916882917
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2002,19,61,152,0.017755273,0.840797632,0.092225403,0.555169753,0.009542175,56.14451348,9.849531157,0.847913946,0.563642383,0.448808361,0.906947621
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2003,19,69,152,0.019544753,0.838739009,0.092494546,0.612654321,0.009542175,56.14451348,9.849531157,0.917827634,0.649987545,0.445026567,0.906499256
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2004,19,70,152,0.021847153,0.836436609,0.092494546,0.633101852,0.009542175,56.14451348,9.849531157,0.899718017,0.53352523,0.426060539,0.90912077
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2005,19,65,152,0.023431981,0.835102815,0.092243511,0.620370371,0.009542175,56.14451348,9.849531157,0.871700381,0.574879687,0.446334666,0.903807262
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2006,19,77,152,0.024433286,0.834135153,0.092209868,0.563657408,0.009542175,56.14451348,9.849531157,0.877438456,0.552494203,0.442140088,0.924942281
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2007,19,81,152,0.024686986,0.833881453,0.092209868,0.648148148,0.009542175,56.14451348,9.849531157,0.864019637,0.590650826,0.428538605,0.920897883
DE02,denmark,Gudena,31.8206711,73.17743607,0.959562198,mixed,0.6/m2,12,2008,19,85,152,0.025728257,0.832840182,0.092209868,0.657021605,0.009542175,56.14451348,9.849531157,0.825449035,0.506161216,0.436356695,0.88910021
