basin,year,tax_bray,bio_bray,eco_bray
DE04,2001,0.755067568,0.392989405,0.206358364
DE04,2002,0.672483221,0.351374076,0.191025558
DE04,2003,0.796980532,0.388130314,0.238945515
DE04,2004,0.844489692,0.384246625,0.264488088
DE04,2005,0.83407687,0.368897155,0.220291553
DE04,2006,0.692996196,0.227751429,0.177262394
DE04,2007,0.808717867,0.328440402,0.201492308
DE04,2008,0.748089359,0.316616979,0.222584328
DE04,2009,0.740056818,0.33290186,0.225897983
DE04,2010,0.79741205,0.418018991,0.264556415
DE04,2012,0.757824525,0.341314418,0.183733126
DE04,2013,0.782246549,0.463710005,0.282791965
DE04,2015,0.849113924,0.504454214,0.264685527
DE04,2016,0.763636364,0.414992638,0.172434534
DE04,2018,0.782743637,0.498679093,0.22978531
DE05,1999,0.858353666,0.495746853,0.357819177
DE05,2000,0.826627707,0.473152461,0.361038707
DE05,2001,0.89367559,0.432196483,0.342539914
DE05,2002,0.85569607,0.477661926,0.306889921
DE05,2003,0.873335454,0.548623119,0.414233804
DE05,2004,0.884748563,0.529862527,0.400283506
DE05,2005,0.839466992,0.473834099,0.351197526
DE05,2006,0.862167819,0.565367897,0.366140093
DE05,2007,0.91641122,0.599484121,0.383027546
DE05,2008,0.871989105,0.535254138,0.36525293
DE05,2009,0.866308286,0.52810634,0.399413319
DE05,2010,0.854964847,0.487426312,0.370072858
DE05,2011,0.849683694,0.537383837,0.346517866
DE05,2012,0.886281188,0.498441901,0.330292514
DE05,2013,0.875260688,0.633956745,0.37023689
DE05,2014,0.885254868,0.588784382,0.362477263
DE05,2015,0.886398843,0.48185916,0.345379624
DE05,2016,0.837373134,0.560446525,0.359656864
DE05,2018,0.869121303,0.570027065,0.406346814
DE06,1999,0.982047488,0.686228995,0.41057031
DE06,2000,0.956930673,0.662327659,0.375984793
DE06,2001,0.843177429,0.620051295,0.335175284
DE06,2002,0.91626421,0.621272371,0.310769496
DE06,2003,0.944440614,0.580386471,0.33373716
DE06,2004,0.92299132,0.564314948,0.314593311
DE06,2005,0.907131742,0.577699086,0.384120953
DE06,2006,0.927513847,0.540967097,0.325584419
DE06,2007,0.848928513,0.530572368,0.340806753
DE06,2008,0.855874758,0.556546705,0.316129704
DE06,2009,0.827889239,0.525088976,0.306705782
DE06,2010,0.952279229,0.583384925,0.396262686
DE06,2012,0.883039614,0.583732231,0.352640938
DE06,2013,0.888078455,0.536601675,0.331655905
DE06,2015,0.896331004,0.521929785,0.359835778
DE06,2015,0.905185879,0.577733789,0.350728683
DE06,2018,0.862157534,0.595721479,0.332481572
DE07,2003,0.888680888,0.580213374,0.340476065
DE07,2004,0.886434461,0.580374875,0.30471688
DE07,2005,0.880165441,0.581778668,0.325838639
DE07,2006,0.894463849,0.576883295,0.317809471
DE07,2007,0.862678946,0.523301528,0.292377569
DE07,2008,0.781238871,0.460208168,0.271118087
DE07,2009,0.799339987,0.505464825,0.313089629
DE07,2010,0.810756762,0.549756227,0.353122137
DE07,2011,0.852457956,0.670184557,0.328850537
DE07,2012,0.844200412,0.577869382,0.327765347
DE07,2013,0.821999488,0.570406618,0.327609087
DE07,2014,0.851043395,0.575472201,0.332326089
DE07,2015,0.858629996,0.542688265,0.329134399
DE07,2016,0.905495026,0.675431775,0.338534467
DE07,2018,0.828566016,0.591029473,0.324632537
DE08,1998,0.73108702,0.493350182,0.201846249
DE08,1999,0.770461363,0.389373145,0.226883684
DE08,2000,0.842027951,0.477486699,0.191095598
DE08,2001,0.776454276,0.441862429,0.183612139
DE08,2002,0.794142461,0.38158081,0.226425108
DE08,2003,0.76075367,0.617503492,0.210623721
DE08,2004,0.868014853,0.497499306,0.229406876
DE08,2005,0.8592748,0.532896369,0.228487117
DE08,2006,0.758072213,0.547384966,0.182098833
DE08,2007,0.90869468,0.445206415,0.255550526
DE08,2008,0.84213949,0.467698373,0.242683707
DE08,2009,0.818057022,0.477761125,0.239593573
DE08,2010,0.7741686,0.351292325,0.213670784
DE08,2012,0.914863641,0.452590575,0.23914922
DE08,2013,0.776150628,0.429533305,0.243645342
